NAME	ID
AAAS	ENSG00000094914
AADAC	ENSG00000114771
AAK1	ENSG00000115977
AAMP	ENSG00000127837
AANAT	ENSG00000129673
AAR2	ENSG00000131043
AARS1	ENSG00000090861
AARS2	ENSG00000124608
AASDHPPT	ENSG00000149313
AATF	ENSG00000275700
ABCA1	ENSG00000165029
ABCB1	ENSG00000085563
ABCB10	ENSG00000135776
ABCB6	ENSG00000115657
ABCB7	ENSG00000131269
ABCB9	ENSG00000150967
ABCC1	ENSG00000103222
ABCC6	ENSG00000091262
ABCC8	ENSG00000006071
ABCE1	ENSG00000164163
ABCF1	ENSG00000204574
ABHD14A	ENSG00000248487
ABHD16A	ENSG00000204427
ABHD17A	ENSG00000129968
ABHD5	ENSG00000011198
ABHD6	ENSG00000163686
ABI2	ENSG00000138443
ABL1	ENSG00000097007
ABO	ENSG00000175164
ABR	ENSG00000159842
ABRAXAS2	ENSG00000165660
ABT1	ENSG00000146109
ACAA1	ENSG00000060971
ACAA2	ENSG00000167315
ACACB	ENSG00000076555
ACAD11	ENSG00000240303
ACAD9	ENSG00000177646
ACADM	ENSG00000117054
ACAP1	ENSG00000072818
ACAP2	ENSG00000114331
ACBD6	ENSG00000230124
ACER3	ENSG00000078124
ACKR1	ENSG00000213088
ACKR2	ENSG00000144648
ACLY	ENSG00000131473
ACO1	ENSG00000122729
ACOT13	ENSG00000112304
ACOT7	ENSG00000097021
ACOT8	ENSG00000101473
ACOX2	ENSG00000168306
ACP1	ENSG00000143727
ACR	ENSG00000100312
ACRV1	ENSG00000134940
ACSBG2	ENSG00000130377
ACSL3	ENSG00000123983
ACSL6	ENSG00000164398
ACSM2A	ENSG00000183747
ACTB	ENSG00000075624
ACTC1	ENSG00000159251
ACTG1	ENSG00000184009
ACTL6A	ENSG00000136518
ACTL7A	ENSG00000187003
ACTL7B	ENSG00000148156
ACTN2	ENSG00000077522
ACTN3	ENSG00000248746
ACTN4	ENSG00000130402
ACTR10	ENSG00000131966
ACTR2	ENSG00000138071
ACTR3	ENSG00000115091
ACTR6	ENSG00000075089
ACTRT1	ENSG00000123165
ACYP1	ENSG00000119640
ADA2	ENSG00000093072
ADAM10	ENSG00000137845
ADAM12	ENSG00000148848
ADAM15	ENSG00000143537
ADAM2	ENSG00000104755
ADAM20	ENSG00000134007
ADAM22	ENSG00000008277
ADAM29	ENSG00000168594
ADAM7	ENSG00000069206
ADAM8	ENSG00000151651
ADAMTS3	ENSG00000156140
ADAMTSL2	ENSG00000197859
ADAMTSL3	ENSG00000156218
ADAR	ENSG00000160710
ADCY1	ENSG00000164742
ADCY3	ENSG00000138031
ADCY7	ENSG00000121281
ADCYAP1	ENSG00000141433
ADD1	ENSG00000087274
ADD2	ENSG00000075340
ADGRB3	ENSG00000135298
ADGRE1	ENSG00000174837
ADGRE5	ENSG00000123146
ADGRG1	ENSG00000205336
ADGRL1	ENSG00000072071
ADGRL2	ENSG00000117114
ADH1A	ENSG00000187758
ADH1B	ENSG00000196616
ADH1C	ENSG00000248144
ADH5	ENSG00000197894
ADH6	ENSG00000172955
ADI1	ENSG00000182551
ADM	ENSG00000148926
ADNP	ENSG00000101126
ADO	ENSG00000181915
ADORA2A	ENSG00000128271
ADPGK	ENSG00000159322
ADPRS	ENSG00000116863
ADRA1A	ENSG00000120907
ADRA1B	ENSG00000170214
ADRB1	ENSG00000043591
ADRB3	ENSG00000188778
ADRM1	ENSG00000130706
ADSL	ENSG00000239900
AFDN	ENSG00000130396
AFF1	ENSG00000172493
AFF2	ENSG00000155966
AFG2B	ENSG00000171763
AFG3L2	ENSG00000141385
AFM	ENSG00000079557
AGAP4	ENSG00000188234
AGER	ENSG00000204305
AGPAT1	ENSG00000204310
AGPAT4	ENSG00000026652
AGPAT5	ENSG00000155189
AGPS	ENSG00000018510
AGT	ENSG00000135744
AGXT	ENSG00000172482
AHCY	ENSG00000101444
AHCYL1	ENSG00000168710
AHDC1	ENSG00000126705
AHNAK2	ENSG00000185567
AHSA1	ENSG00000100591
AHSG	ENSG00000145192
AHSP	ENSG00000169877
AIDA	ENSG00000186063
AIF1	ENSG00000204472
AIM2	ENSG00000163568
AIMP1	ENSG00000164022
AIMP2	ENSG00000106305
AIP	ENSG00000110711
AK1	ENSG00000106992
AK2	ENSG00000004455
AK4	ENSG00000162433
AKAP3	ENSG00000111254
AKAP4	ENSG00000147081
AKAP5	ENSG00000179841
AKR1C4	ENSG00000198610
AKR1D1	ENSG00000122787
AKR7A2	ENSG00000053371
AKR7A3	ENSG00000162482
AKT1	ENSG00000142208
ALAD	ENSG00000148218
ALAS2	ENSG00000158578
ALB	ENSG00000163631
ALDH1A3	ENSG00000184254
ALDH1L1	ENSG00000144908
ALDH4A1	ENSG00000159423
ALDOA	ENSG00000149925
ALDOB	ENSG00000136872
ALDOC	ENSG00000109107
ALG3	ENSG00000214160
ALG8	ENSG00000159063
ALKBH5	ENSG00000091542
ALPG	ENSG00000163286
ALPI	ENSG00000163295
ALPP	ENSG00000163283
ALS2	ENSG00000003393
AMBP	ENSG00000106927
AMELX	ENSG00000125363
AMER2	ENSG00000165566
AMFR	ENSG00000159461
AMIGO2	ENSG00000139211
AMMECR1	ENSG00000101935
AMMECR1L	ENSG00000144233
AMOT	ENSG00000126016
AMPH	ENSG00000078053
ANAPC13	ENSG00000129055
ANAPC5	ENSG00000089053
ANG	ENSG00000214274
ANGPTL7	ENSG00000171819
ANGPTL8	ENSG00000130173
ANK1	ENSG00000029534
ANK2	ENSG00000145362
ANKFY1	ENSG00000185722
ANKRA2	ENSG00000164331
ANKRD10	ENSG00000088448
ANKRD12	ENSG00000101745
ANKRD17	ENSG00000132466
ANKRD2	ENSG00000165887
ANKRD40	ENSG00000154945
ANKRD49	ENSG00000168876
ANKRD50	ENSG00000151458
ANKRD7	ENSG00000106013
ANKS1B	ENSG00000185046
ANP32A	ENSG00000140350
ANP32B	ENSG00000136938
ANP32E	ENSG00000143401
ANTXR1	ENSG00000169604
ANXA10	ENSG00000109511
ANXA11	ENSG00000122359
ANXA3	ENSG00000138772
ANXA6	ENSG00000197043
ANXA7	ENSG00000138279
ANXA8	ENSG00000265190
AOAH	ENSG00000136250
AOC1	ENSG00000002726
AOC4P	ENSG00000260105
AP1B1	ENSG00000100280
AP1S2	ENSG00000182287
AP2A1	ENSG00000196961
AP2A2	ENSG00000183020
AP2M1	ENSG00000161203
AP2S1	ENSG00000042753
AP3B1	ENSG00000132842
AP3D1	ENSG00000065000
AP3S1	ENSG00000177879
AP4E1	ENSG00000081014
APBB3	ENSG00000113108
APC2	ENSG00000115266
APCS	ENSG00000132703
APEX1	ENSG00000100823
APH1B	ENSG00000138613
API5	ENSG00000166181
APLP1	ENSG00000105290
APMAP	ENSG00000101474
APOA1	ENSG00000118137
APOA2	ENSG00000158874
APOB	ENSG00000084674
APOBEC1	ENSG00000111701
APOBEC3A	ENSG00000128383
APOBEC3C	ENSG00000244509
APOBEC3G	ENSG00000239713
APOBR	ENSG00000184730
APOC1	ENSG00000130208
APOC2	ENSG00000234906
APOC3	ENSG00000110245
APOC4	ENSG00000267467
APOF	ENSG00000175336
APOH	ENSG00000091583
APOM	ENSG00000204444
APPBP2	ENSG00000062725
APPL2	ENSG00000136044
APRT	ENSG00000198931
AQP2	ENSG00000167580
AQP4	ENSG00000171885
AQP5	ENSG00000161798
AQP6	ENSG00000086159
AQP7	ENSG00000165269
AQP8	ENSG00000103375
AQP9	ENSG00000103569
ARAF	ENSG00000078061
ARAP2	ENSG00000047365
ARB2A	ENSG00000113391
ARC	ENSG00000198576
ARCN1	ENSG00000095139
AREG	ENSG00000109321
AREL1	ENSG00000119682
ARF1	ENSG00000143761
ARF3	ENSG00000134287
ARF4	ENSG00000168374
ARF5	ENSG00000004059
ARF6	ENSG00000165527
ARFGAP1	ENSG00000101199
ARFGAP2	ENSG00000149182
ARFGEF1	ENSG00000066777
ARFGEF2	ENSG00000124198
ARG1	ENSG00000118520
ARHGAP1	ENSG00000175220
ARHGAP11A	ENSG00000198826
ARHGAP12	ENSG00000165322
ARHGAP21	ENSG00000107863
ARHGAP25	ENSG00000163219
ARHGAP26	ENSG00000145819
ARHGAP4	ENSG00000089820
ARHGAP45	ENSG00000180448
ARHGDIA	ENSG00000141522
ARHGDIB	ENSG00000111348
ARHGEF1	ENSG00000076928
ARHGEF12	ENSG00000196914
ARHGEF18	ENSG00000104880
ARHGEF3	ENSG00000163947
ARHGEF7	ENSG00000102606
ARHGEF9	ENSG00000131089
ARID1A	ENSG00000117713
ARID3A	ENSG00000116017
ARID4B	ENSG00000054267
ARIH2	ENSG00000177479
ARK2N	ENSG00000152242
ARL2	ENSG00000213465
ARL2BP	ENSG00000102931
ARL3	ENSG00000138175
ARL4C	ENSG00000188042
ARL5A	ENSG00000162980
ARL5B	ENSG00000165997
ARL6IP1	ENSG00000170540
ARL8B	ENSG00000134108
ARMC8	ENSG00000114098
ARMCX6	ENSG00000198960
ARMH3	ENSG00000120029
ARNT	ENSG00000143437
ARNT2	ENSG00000172379
ARPC1B	ENSG00000130429
ARPC2	ENSG00000163466
ARPC3	ENSG00000111229
ARPC4	ENSG00000241553
ARPC5	ENSG00000162704
ARPP19	ENSG00000128989
ARRB2	ENSG00000141480
ARSL	ENSG00000157399
ART1	ENSG00000129744
ART3	ENSG00000156219
ARVCF	ENSG00000099889
ASAP2	ENSG00000151693
ASB3	ENSG00000115239
ASB4	ENSG00000005981
ASB6	ENSG00000148331
ASB7	ENSG00000183475
ASCC1	ENSG00000138303
ASCL2	ENSG00000183734
ASF1A	ENSG00000111875
ASF1B	ENSG00000105011
ASGR1	ENSG00000141505
ASGR2	ENSG00000161944
ASH1L	ENSG00000116539
ASH2L	ENSG00000129691
ASL	ENSG00000126522
ASMT	ENSG00000292336
ASPM	ENSG00000066279
ASS1	ENSG00000130707
ASTN1	ENSG00000152092
ASTN2	ENSG00000148219
ASXL1	ENSG00000171456
ATAD2B	ENSG00000119778
ATAT1	ENSG00000137343
ATF2	ENSG00000115966
ATF4	ENSG00000128272
ATF5	ENSG00000169136
ATF6B	ENSG00000213676
ATF7	ENSG00000170653
ATG12	ENSG00000145782
ATG2B	ENSG00000066739
ATG4B	ENSG00000168397
ATG5	ENSG00000057663
ATG9A	ENSG00000198925
ATIC	ENSG00000138363
ATM	ENSG00000149311
ATMIN	ENSG00000166454
ATOSA	ENSG00000047346
ATOSB	ENSG00000005238
ATOX1	ENSG00000177556
ATP10B	ENSG00000118322
ATP11B	ENSG00000058063
ATP12A	ENSG00000075673
ATP1A2	ENSG00000018625
ATP1B2	ENSG00000129244
ATP1B3	ENSG00000069849
ATP2A1	ENSG00000196296
ATP2A2	ENSG00000174437
ATP2B2	ENSG00000157087
ATP2C1	ENSG00000017260
ATP4B	ENSG00000186009
ATP5F1A	ENSG00000152234
ATP5F1B	ENSG00000110955
ATP5F1C	ENSG00000165629
ATP5F1D	ENSG00000099624
ATP5MC1	ENSG00000159199
ATP5MC2	ENSG00000135390
ATP5MC3	ENSG00000154518
ATP5ME	ENSG00000169020
ATP5MF	ENSG00000241468
ATP5MG	ENSG00000167283
ATP5MJ	ENSG00000156411
ATP5PB	ENSG00000116459
ATP5PD	ENSG00000167863
ATP5PF	ENSG00000154723
ATP5PO	ENSG00000241837
ATP6AP1	ENSG00000071553
ATP6AP2	ENSG00000182220
ATP6V0A2	ENSG00000185344
ATP6V0B	ENSG00000117410
ATP6V0C	ENSG00000185883
ATP6V0D1	ENSG00000159720
ATP6V0E1	ENSG00000113732
ATP6V1A	ENSG00000114573
ATP6V1B1	ENSG00000116039
