SYNONYM,SYMBOL
SSX9,SSX9P
AARS,AARS1
ACPP,ACP3
ACPT,ACP4
ACRC,GCNA
ADCK4,COQ8B
ADPRHL2,ADPRS
ADRBK1,GRK2
ADRBK2,GRK3
ADSSL1,ADSS1
AES,TLE5
AGPAT9,LPCAT1
AHSA2,AHSA2P
AIM1,CRYBG1
AKR1C8P,AKR1C8
ALG1L,ALG1L1P
ALMS1P,ALMS1P1
ALPPL2,ALPG
ANKRD20A3,ANKRD20A3P
ANKRD20A4,ANKRD20A4P
ANKRD32,SLF1
APITD1,CENPS
APOA1BP,NAXE
ARMC4,ODAD2
ARNTL2,BMAL2
ARNTL,BMAL1
ARSE,ARSL
ASNA1,GET3
ATHL1,PGGHG
ATP5A1,ATP5F1A
ATP5B,ATP5F1B
ATP5C1,ATP5F1C
ATP5D,ATP5F1D
ATP5EP2,ATP5F1EP2
ATP5E,ATP5F1E
ATP5F1,ATP5PB
ATP5G1,ATP5MC1
ATP5G2,ATP5MC2
ATP5G3,ATP5MC3
ATP5I,ATP5ME
ATP5J2,ATP5MF
ATP5J,ATP5PF
ATP5L2,ATP5MGL
ATP5L,ATP5MG
ATP5O,ATP5PO
ATP5SL,DMAC2
ATP5S,DMAC2L
ATPIF1,ATP5IF1
B3GALTL,B3GLCT
BHLHB9,GPRASP3
BRE,BABAM2
BTBD11,ABTB3
BZRAP1,TSPOAP1
PRR26,DIP2C-AS1
CASC10,MIR1915HG
FAM208B,TASOR2
LINC00264,FAM238A
FAM213A,PRXL2A
TEX40,CATSPERZ
PPP1R32,SAXO4
COLCA2,POU2AF3
ASUN,INTS13
KIAA1551,RESF1
METTL20,ETFBKMT
KIAA0226L,RUBCNL
LINC00346,PRECSIT
TMEM251,LYSET
PCNXL4,PCNX4
LINC00341,SYNE3
APOPT1,COA8
ELMSAN1,MIDEAS
CCDC176,BBOF1
LINC00521,CCDC197
LINC00238,CCDC196
VWA9,INTS14
FOPNL,CEP20
ENTHD2,TEPSIN
LINC00483,ANKRD40CL
DIEXF,UTP25
MINOS1,MICOS10
FAM212B,INKA2
PIFO,CIMAP3
RSG1,CPLANE2
FAM213B,PRXL2B
SOGA1,MTCL2
RTFDC1,RTF2
FAM207A,SLX9
TSPEAR-AS2,TSPEAR-AS1
TEX33,CIMIP4
TEX37,SPMIP9
KIAA1211L,CRACDL
CCDC173,CFAP210
MAATS1,CFAP91
FAM212A,INKA1
PQLC2L,SLC66A1LP
FAM208A,TASOR
TEX43,SPMIP10
ZBED8,FAM200C
LINC01558,AFDN-DT
MB21D1,CGAS
SOGA3,MTCL3
LINC00271,AHI1-DT
ZBED6CL,ZBED10P
YAE1D1,YAE1
KIAA1456,TRMT9B
TMEM261,DMAC1
TMEM246,PGAP4
LINC00476,ERCC6L2-AS1
FAM205A,SPATA31F1
FAM205BP,SPATA31F2P
AAED1,PRXL2C
FAM206A,ABITRAM
ADCK3,COQ8A
CARD17,CARD17P
CARKD,NAXD
CARS,CARS1
CASC1,DNAI7
CASC4,GOLM2
CASC5,KNL1
CBWD1,ZNG1A
CBWD6,ZNG1F
CCBL1,KYAT1
CCBL2,KYAT3
CCDC101,SGF29
CCDC105,TEKTL1
CCDC108,CFAP65
CCDC109B,MCUB
CCDC113,CFAP263
CCDC114,ODAD1
CCDC129,ITPRID1
CCDC130,YJU2B
CCDC132,VPS50
CCDC144B,CCDC144BP
CCDC151,ODAD3
CCDC153,DRC12
CCDC155,KASH5
CCDC163P,CCDC163
CCDC23,SVBP
CCDC36,IHO1
CCDC37,CFAP100
CCDC42B,CFAP73
CCDC53,WASHC3
CCDC58,MIX23
CCDC64B,BICDL2
CCDC64,BICDL1
CCDC67,DEUP1
CCDC79,TERB1
CCDC84,CENATAC
CCDC94,YJU2
CCDC96,CFAP184
CCRN4L,NOCT
CD3EAP,POLR1G
CDRT1,FBXW10B
CECR1,ADA2
CECR5,HDHD5
CECR6,TMEM121B
CENPBD1,CENPBD1P
CGB,CGB3
CIDECP,CIDECP1
CIRH1A,UTP4
CLECL1,CLECL1P
CLLU1OS,CLLU1-AS1
CNTD2,CCNP
COL4A3BP,CERT1
CPSF3L,INTS11
CRAMP1L,CRAMP1
CSRP2BP,PET117
CTGF,CCN2
TMEM257,SLITRK2
HYPM,H2AP
PIH1D3,DNAAF6
CYR61,CCN1
DARS,DARS1
DDX26B,INTS6L
DDX58,RIGI
DEC1,DELEC1
DEFB131,DEFB131A
DFNA5,GSDME
DFNB31,WHRN
DFNB59,PJVK
DGCR14,ESS2
DHFRL1,DHFR2
DIRC2,SLC49A4
DOPEY1,DOP1A
DOPEY2,DOP1B
DPCR1,MUCL3
DSCR3,VPS26C
DUPD1,DUSP29
DUSP13,DUSP13B
DYX1C1,DNAAF4
EFTUD1,EFL1
EP400NL,EP400P1
EPT1,SELENOI
ERBB2IP,ERBIN
ERO1LB,ERO1B
ERO1L,ERO1A
FAM101A,RFLNA
FAM101B,RFLNB
FAM102A,EEIG1
FAM102B,EEIG2
FAM103A1,RAMAC
FAM104B,VCF2
FAM105A,OTULINL
FAM109A,PHETA1
FAM109B,PHETA2
METTL21B,EEF1AKMT3
FAM122A,PABIR1
FAM122B,PABIR2
FAM122C,PABIR3
FAM126A,HYCC1
FAM126B,HYCC2
FAM127A,RTL8C
FAM127B,RTL8A
FAM127C,RTL8B
FAM129A,NIBAN1
FAM129B,NIBAN2
FAM129C,NIBAN3
FAM132A,C1QTNF12
FAM134A,RETREG2
FAM134B,RETREG1
FAM134C,RETREG3
FAM150A,ALKAL1
FAM150B,ALKAL2
FAM153C,FAM153CP
FAM155A,NALF1
FAM155B,NALF2
FAM159A,SHISAL2A
FAM160A1,FHIP1A
FAM160A2,FHIP1B
FAM160B1,FHIP2A
FAM166A,CIMIP2A
FAM166B,CIMIP2B
FAM169B,FAM169BP
FAM172A,ARB2A
FAM173A,ANTKMT
FAM173B,ATPSCKMT
FAM175A,ABRAXAS1
FAM175B,ABRAXAS2
FAM178A,SLF2
FAM179A,TOGARAM2
FAM179B,TOGARAM1
FAM183A,CFAP144
FAM183B,CFAP144P1
FAM188A,MINDY3
FAM188B,MINDY4
FAM189A1,ENTREP2
FAM189A2,ENTREP1
FAM192A,PSME3IP1
FAM195A,MCRIP2
FAM195B,MCRIP1
FAM196A,INSYN2A
FAM196B,INSYN2B
FAM198A,GASK1A
FAM198B,GASK1B
FAM19A1,TAFA1
FAM19A2,TAFA2
FAM19A3,TAFA3
FAM19A4,TAFA4
FAM19A5,TAFA5
FAM21A,WASHC2A
FAM21C,WASHC2C
FAM26D,CALHM4
FAM26E,CALHM5
FAM26F,CALHM6
FAM27L,FAM27E5
FAM35A,SHLD2
FAM35BP,SHLD2P1
FAM45A,DENND10
FAM45B,DENND10P1
FAM46A,TENT5A
FAM46B,TENT5B
FAM46C,TENT5C
FAM46D,TENT5D
FAM49A,CYRIA
FAM57A,TLCD3A
FAM57B,TLCD3B
FAM58A,CCNQ
GAREM,GAREM1
FAM60A,SINHCAF
FAM63A,MINDY1
FAM63B,MINDY2
FAM64A,PIMREG
FAM65A,RIPOR1
FAM65B,RIPOR2
FAM65C,RIPOR3
FAM69A,DIPK1A
FAM69B,DIPK1B
FAM69C,DIPK1C
FAM71B,GARIN3
FAM71C,GARIN6
FAM71D,GARIN2
FAM71E1,GARIN5A
FAM71E2,GARIN5B
FAM71F1,GARIN1B
FAM71F2,GARIN1A
FAM73A,MIGA1
FAM73B,MIGA2
